#Version: 1.0.0.0
ID;ObservationType;Details1;Details2;Details3;Details4;Details5;Details6;Deactivation;Class;Message;MinPendingTime;Latch1;Latch2;HigherPrioAlarm
95;Digital;algGVL.GPA_AI_ToHMI.F_VOD2.fault_common;=;TRUE;;;;;Warning;Частота вращения вентилятора №2 обдува двигателя;t#0s;;;
96;Digital;algGVL.GPA_AI_ToHMI.Tair.fault_common;=;TRUE;;;;;Warning;Т наружного воздуха;t#0s;;;
97;Digital;algGVL.GPA_AI_ToHMI.Wet.fault_common;=;TRUE;;;;;Warning;Относительная влажность наружного воздуха;t#0s;;;
98;Digital;algGVL.GPA_AI_ToHMI.dPv_KShT_bayGTU.fault_common;=;TRUE;;;;;Warning;Перепад давления воздуха между  КШТ и отсеком ГТУ;t#0s;;;
99;Digital;algGVL.GPA_AI_ToHMI.dPv_atm_blowTransm.fault_common;=;TRUE;;;;;Warning;dР воздуха между атмосферой и зоной обдува трансмиссии;t#0s;;;
100;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_24.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
101;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_25.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
102;Digital;algGVL.GPA_AI_ToHMI.Set_VOD1_KCU.fault_common;=;TRUE;;;;;Warning;Управляющий сигнал на регулятор частоты вращения ВОД1. КЦУ;t#0s;;;
103;Digital;algGVL.GPA_AI_ToHMI.Set_VOD2_KCU.fault_common;=;TRUE;;;;;Warning;Управляющий сигнал на регулятор частоты вращения ВОД2. КЦУ;t#0s;;;
104;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_26.fault_common;=;TRUE;;;;;Warning;Резерв. КЦУ;t#0s;;;
105;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_27.fault_common;=;TRUE;;;;;Warning;Резерв. КЦУ;t#0s;;;
106;Digital;algGVL.GPA_AI_ToHMI.U_main.fault_common;=;TRUE;;;;;Warning;Измерение основного питания САУ;t#0s;;;
107;Digital;algGVL.GPA_AI_ToHMI.U_reserv.fault_common;=;TRUE;;;;;Warning;Измерение резервного питания САУ;t#0s;;;
108;Digital;algGVL.GPA_AI_ToHMI.T_PON.fault_common;=;TRUE;;;;;Warning;Темпер. переднего опорного подшипника нагнетателя ;t#0s;;;
109;Digital;algGVL.GPA_AI_ToHMI.T_ZON.fault_common;=;TRUE;;;;;Warning;Темпер. заднего опорного подшипника нагнетателя;t#0s;;;
110;Digital;algGVL.GPA_AI_ToHMI.T_UPP.fault_common;=;TRUE;;;;;Warning;Температура упорного подшипника со стороны привода;t#0s;;;
111;Digital;algGVL.GPA_AI_ToHMI.T_UPN.fault_common;=;TRUE;;;;;Warning;Температура упорного подшипника со стороны насоса;t#0s;;;
112;Digital;algGVL.GPA_AI_ToHMI.Tg_inN.fault_common;=;TRUE;;;;;Warning;Темп. газа на входе Н;t#0s;;;
113;Digital;algGVL.GPA_AI_ToHMI.Tg_outN.fault_common;=;TRUE;;;;;Warning;Темп. газа на выходе Н;t#0s;;;
114;Digital;algGVL.GPA_AI_ToHMI.Tm_MBN.fault_common;=;TRUE;;;;;Warning;Т масла в МБН;t#0s;;;
115;Digital;algGVL.GPA_AI_ToHMI.Tm_inAVOMN.fault_common;=;TRUE;;;;;Warning;Т масла на выходе АВОМ Н;t#0s;;;
116;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_28.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
117;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_29.fault_common;=;TRUE;;;;;Warning;не подключен;t#0s;;;
118;Digital;algGVL.GPA_AI_ToHMI.dP_konfN.fault_common;=;TRUE;;;;;Warning;Перепад P газа на конфузоре Н;t#0s;;;
119;Digital;algGVL.GPA_AI_ToHMI.Pg_inN.fault_common;=;TRUE;;;;;Warning;P газа на входе нагнетателя;t#0s;;;
120;Digital;algGVL.GPA_AI_ToHMI.Pg_outN.fault_common;=;TRUE;;;;;Warning;P газа на выходе нагнетателя;t#0s;;;
121;Digital;algGVL.GPA_AI_ToHMI.Pos_APK.fault_common;=;TRUE;;;;;Warning;Степень закрытия Mokveld;t#0s;;;
122;Digital;algGVL.GPA_AI_ToHMI.Set_APK.fault_common;=;TRUE;;;;;Warning;Задание на закрытие Mokveld;t#0s;;;
123;Digital;algGVL.GPA_AI_ToHMI.P_bKr2.fault_common;=;TRUE;;;;;Warning;Давление после крана 2;t#0s;;;
124;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_30.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
125;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_31.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
126;Digital;algGVL.GPA_AI_ToHMI.Set_APK_KCU.fault_common;=;TRUE;;;;;Warning;Управление рег. клапаном Mokveld. КЦУ;t#0s;;;
127;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_32.fault_common;=;TRUE;;;;;Warning;Резерв. КЦУ;t#0s;;;
128;Digital;algGVL.GPA_AI_ToHMI.dPmg.fault_common;=;TRUE;;;;;Warning;dР "масло-газ" в системе уплотнений Н;t#0s;;;
129;Digital;algGVL.GPA_AI_ToHMI.Pmsm.fault_common;=;TRUE;;;;;Warning;Р масла смазки упорного подшипника Н;t#0s;;;
130;Digital;algGVL.GPA_AI_ToHMI.Lm_MBN.fault_common;=;TRUE;;;;;Warning;Уровень масла в МБН;t#0s;;;
131;Digital;algGVL.GPA_AI_ToHMI.V_PON_v.fault_common;=;TRUE;;;;;Warning;Виброперемещение ротора Н в передней опоре - вертикальная;t#0s;;;
132;Digital;algGVL.GPA_AI_ToHMI.V_PON_g.fault_common;=;TRUE;;;;;Warning;Виброперемещение ротора Н в передней опоре - горизонтальная;t#0s;;;
133;Digital;algGVL.GPA_AI_ToHMI.V_ZON_v.fault_common;=;TRUE;;;;;Warning;Виброперемещение ротора Н в задней опоре - вертикальная;t#0s;;;
134;Digital;algGVL.GPA_AI_ToHMI.V_ZON_g.fault_common;=;TRUE;;;;;Warning;Виброперемещение ротора Н в задней опоре - горизонтальная;t#0s;;;
135;Digital;algGVL.GPA_AI_ToHMI.Os_N.fault_common;=;TRUE;;;;;Warning;Осевой сдвиг ротора  - в сторону Д (+) -в сторону Н (-);t#0s;;;
136;Digital;algGVL.GPA_AI_ToHMI.Tg_inAGMB.fault_common;=;TRUE;;;;;Warning;Температура газа на входе в АГМБ;t#0s;;;
137;Digital;algGVL.GPA_AI_ToHMI.Tm_inGMTD.fault_common;=;TRUE;;;;;Warning;Температура масла двигателя на входе в ГМТ Д;t#0s;;;
138;Digital;algGVL.GPA_AI_ToHMI.Tm_outGMTD.fault_common;=;TRUE;;;;;Warning;Температура масла двигателя на выходе из ГМТ Д;t#0s;;;
139;Digital;algGVL.GPA_AI_ToHMI.Tg_outAGMB.fault_common;=;TRUE;;;;;Warning;Температура газа на выходе из АГМБ;t#0s;;;
140;Digital;algGVL.GPA_AI_ToHMI.Tm_inGMTN.fault_common;=;TRUE;;;;;Warning;Температура масла двигателя на входе в ГМТ К;t#0s;;;
141;Digital;algGVL.GPA_AI_ToHMI.Tm_outGMTN.fault_common;=;TRUE;;;;;Warning;Температура масла двигателя на выходе из ГМТ К;t#0s;;;
142;Digital;algGVL.GPA_AI_ToHMI.Tm_outSeKTeplST.fault_common;=;TRUE;;;;;Warning;Температура масла компрессора на выходе из секции теплообменной СТ;t#0s;;;
143;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_33.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
144;Digital;algGVL.GPA_AI_ToHMI.Pg_inAGMB.fault_common;=;TRUE;;;;;Warning;Давление газа на входе в АГМБ;t#0s;;;
145;Digital;algGVL.GPA_AI_ToHMI.Pm_inGMTD.fault_common;=;TRUE;;;;;Warning;Давление масла двигателя на входе в ГМТ Д;t#0s;;;
146;Digital;algGVL.GPA_AI_ToHMI.Pg_outAGMB.fault_common;=;TRUE;;;;;Warning;Давление газа на выходе в АГМБ;t#0s;;;
147;Digital;algGVL.GPA_AI_ToHMI.Pm_inGMTN.fault_common;=;TRUE;;;;;Warning;Давление масла компрессора на входе в ГМТ К;t#0s;;;
148;Digital;algGVL.GPA_AI_ToHMI.dP_filtGaz.fault_common;=;TRUE;;;;;Warning;Перепад давления на фильтре газа;t#0s;;;
149;Digital;algGVL.GPA_AI_ToHMI.T_povSekTeplST.fault_common;=;TRUE;;;;;Warning;Температура поверхности секции теплообменной СТ;t#0s;;;
150;Digital;algGVL.GPA_AI_ToHMI.Gaz_air.fault_common;=;TRUE;;;;;Warning;Степень загазованности воздуха;t#0s;;;
151;Digital;algGVL.GPA_AI_ToHMI.flameEq.fault_common;=;TRUE;;;;;Warning;Пламя в оборудовании ;t#0s;;;
152;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_34.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
153;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_35.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
154;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_36.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
155;Digital;algGVL.GPA_AI_ToHMI.Reserv_AI_37.fault_common;=;TRUE;;;;;Warning;Резерв;t#0s;;;
